segment,crf,psnr,ssim,vmaf,spatial_var,motion,entropy,resolution
bosphorus_1920x1080_120fps_420_8bit_yuv_seg_000,18,43.49151,0.975625,94.072846,1131.6672421532232,2.538815221690527,6.6396527,2073600
bosphorus_1920x1080_120fps_420_8bit_yuv_seg_000,28,39.107587,0.945065,82.960277,1131.6672421532232,2.538815221690527,6.6396527,2073600
bosphorus_1920x1080_120fps_420_8bit_yuv_seg_000,38,34.386,0.885156,57.467765,1131.6672421532232,2.538815221690527,6.6396527,2073600
bosphorus_1920x1080_120fps_420_8bit_yuv_seg_001,18,43.577914,0.975758,93.929919,1135.2132484745682,2.312269754545337,6.628167,2073600
bosphorus_1920x1080_120fps_420_8bit_yuv_seg_001,28,39.172235,0.945584,82.895978,1135.2132484745682,2.312269754545337,6.628167,2073600
bosphorus_1920x1080_120fps_420_8bit_yuv_seg_001,38,34.443253,0.886784,56.962567,1135.2132484745682,2.312269754545337,6.628167,2073600
bosphorus_1920x1080_120fps_420_8bit_yuv_seg_002,18,43.751466,0.976114,94.527175,1116.9332669881856,2.898660442765068,6.566745,2073600
bosphorus_1920x1080_120fps_420_8bit_yuv_seg_002,28,39.325313,0.947156,82.84697,1116.9332669881856,2.898660442765068,6.566745,2073600
bosphorus_1920x1080_120fps_420_8bit_yuv_seg_002,38,34.581862,0.890405,56.952432,1116.9332669881856,2.898660442765068,6.566745,2073600
bosphorus_1920x1080_120fps_420_8bit_yuv_seg_003,18,43.760606,0.975618,94.228807,1030.1350856476558,2.2499729857220667,6.486331,2073600
bosphorus_1920x1080_120fps_420_8bit_yuv_seg_003,28,39.35864,0.946559,82.812839,1030.1350856476558,2.2499729857220667,6.486331,2073600
bosphorus_1920x1080_120fps_420_8bit_yuv_seg_003,38,34.653541,0.891499,57.044516,1030.1350856476558,2.2499729857220667,6.486331,2073600
bosphorus_1920x1080_120fps_420_8bit_yuv_seg_004,18,43.770049,0.975617,94.569035,1079.95620930973,2.6906627575798834,6.5181813,2073600
bosphorus_1920x1080_120fps_420_8bit_yuv_seg_004,28,39.356439,0.946499,82.88951,1079.95620930973,2.6906627575798834,6.5181813,2073600
bosphorus_1920x1080_120fps_420_8bit_yuv_seg_004,38,34.639175,0.891284,57.263786,1079.95620930973,2.6906627575798834,6.5181813,2073600
honeybee_1920x1080_120fps_420_8bit_yuv_seg_000,18,42.965218,0.968469,94.334364,866.0576577037781,0.3872128162607636,6.661836,2073600
honeybee_1920x1080_120fps_420_8bit_yuv_seg_000,28,39.817333,0.949287,86.432912,866.0576577037781,0.3872128162607636,6.661836,2073600
honeybee_1920x1080_120fps_420_8bit_yuv_seg_000,38,35.302357,0.904499,59.143266,866.0576577037781,0.3872128162607636,6.661836,2073600
honeybee_1920x1080_120fps_420_8bit_yuv_seg_001,18,43.014332,0.968687,94.376867,863.6786822117923,0.2305914124909223,6.66068,2073600
honeybee_1920x1080_120fps_420_8bit_yuv_seg_001,28,39.936846,0.949813,86.567447,863.6786822117923,0.2305914124909223,6.66068,2073600
honeybee_1920x1080_120fps_420_8bit_yuv_seg_001,38,35.475101,0.905346,59.398131,863.6786822117923,0.2305914124909223,6.66068,2073600
honeybee_1920x1080_120fps_420_8bit_yuv_seg_002,18,43.034352,0.968817,94.409251,863.0074920843806,0.22173324190787422,6.660052,2073600
honeybee_1920x1080_120fps_420_8bit_yuv_seg_002,28,39.995105,0.95036,86.645164,863.0074920843806,0.22173324190787422,6.660052,2073600
honeybee_1920x1080_120fps_420_8bit_yuv_seg_002,38,35.525831,0.904701,59.339968,863.0074920843806,0.22173324190787422,6.660052,2073600
honeybee_1920x1080_120fps_420_8bit_yuv_seg_003,18,43.010747,0.968739,94.326505,865.014408071548,0.24313650112822904,6.6618724,2073600
honeybee_1920x1080_120fps_420_8bit_yuv_seg_003,28,39.979416,0.950211,86.356626,865.014408071548,0.24313650112822904,6.6618724,2073600
honeybee_1920x1080_120fps_420_8bit_yuv_seg_003,38,35.421932,0.90385,58.435732,865.014408071548,0.24313650112822904,6.6618724,2073600
honeybee_1920x1080_120fps_420_8bit_yuv_seg_004,18,42.959088,0.968402,93.878855,862.5370575214479,0.2829996911959229,6.657558,2073600
honeybee_1920x1080_120fps_420_8bit_yuv_seg_004,28,39.86156,0.949784,85.184563,862.5370575214479,0.2829996911959229,6.657558,2073600
honeybee_1920x1080_120fps_420_8bit_yuv_seg_004,38,35.308409,0.904577,56.730983,862.5370575214479,0.2829996911959229,6.657558,2073600
jockey_1920x1080_120fps_420_8bit_yuv_seg_000,18,42.993211,0.967148,99.963828,3010.8653061957534,11.708028152233116,7.1674714,2073600
jockey_1920x1080_120fps_420_8bit_yuv_seg_000,28,39.160539,0.94182,92.417043,3010.8653061957534,11.708028152233116,7.1674714,2073600
jockey_1920x1080_120fps_420_8bit_yuv_seg_000,38,34.106087,0.893034,64.558702,3010.8653061957534,11.708028152233116,7.1674714,2073600
jockey_1920x1080_120fps_420_8bit_yuv_seg_001,18,43.160806,0.968003,99.959875,3947.3200901103,14.284479956913321,7.405136,2073600
jockey_1920x1080_120fps_420_8bit_yuv_seg_001,28,39.32394,0.945573,94.078639,3947.3200901103,14.284479956913321,7.405136,2073600
jockey_1920x1080_120fps_420_8bit_yuv_seg_001,38,34.049489,0.899218,66.142432,3947.3200901103,14.284479956913321,7.405136,2073600
jockey_1920x1080_120fps_420_8bit_yuv_seg_002,18,42.74169,0.963276,99.958945,3182.6854383989944,14.882135522032886,7.146852,2073600
jockey_1920x1080_120fps_420_8bit_yuv_seg_002,28,39.166864,0.944559,93.348776,3182.6854383989944,14.882135522032886,7.146852,2073600
jockey_1920x1080_120fps_420_8bit_yuv_seg_002,38,34.045701,0.907731,64.022388,3182.6854383989944,14.882135522032886,7.146852,2073600
jockey_1920x1080_120fps_420_8bit_yuv_seg_003,18,43.310902,0.959412,99.35676,927.1430173122718,9.803687355729329,6.18905,2073600
jockey_1920x1080_120fps_420_8bit_yuv_seg_003,28,40.760663,0.945012,84.614944,927.1430173122718,9.803687355729329,6.18905,2073600
jockey_1920x1080_120fps_420_8bit_yuv_seg_003,38,36.524497,0.925043,53.73164,927.1430173122718,9.803687355729329,6.18905,2073600
jockey_1920x1080_120fps_420_8bit_yuv_seg_004,18,43.212241,0.960875,99.404383,1034.9914859940498,9.812376417580921,6.3577166,2073600
jockey_1920x1080_120fps_420_8bit_yuv_seg_004,28,40.406146,0.944239,87.487163,1034.9914859940498,9.812376417580921,6.3577166,2073600
jockey_1920x1080_120fps_420_8bit_yuv_seg_004,38,35.901832,0.91677,59.106344,1034.9914859940498,9.812376417580921,6.3577166,2073600
readysteadygo_1920x1080_120fps_420_8bit_yuv_seg_000,18,42.228437,0.975824,99.665834,4120.403791352116,13.880717438595807,7.2753305,2073600
readysteadygo_1920x1080_120fps_420_8bit_yuv_seg_000,28,37.102565,0.944547,96.438364,4120.403791352116,13.880717438595807,7.2753305,2073600
readysteadygo_1920x1080_120fps_420_8bit_yuv_seg_000,38,31.519059,0.874548,71.431053,4120.403791352116,13.880717438595807,7.2753305,2073600
readysteadygo_1920x1080_120fps_420_8bit_yuv_seg_001,18,42.658961,0.976163,99.964604,5309.437183041461,13.066625691364507,7.0051594,2073600
readysteadygo_1920x1080_120fps_420_8bit_yuv_seg_001,28,37.481931,0.946034,91.654547,5309.437183041461,13.066625691364507,7.0051594,2073600
readysteadygo_1920x1080_120fps_420_8bit_yuv_seg_001,38,31.796483,0.88263,61.929671,5309.437183041461,13.066625691364507,7.0051594,2073600
readysteadygo_1920x1080_120fps_420_8bit_yuv_seg_002,18,42.266668,0.975179,99.961504,5228.47578700185,14.692631359256666,6.966769,2073600
readysteadygo_1920x1080_120fps_420_8bit_yuv_seg_002,28,36.883975,0.940708,91.866182,5228.47578700185,14.692631359256666,6.966769,2073600
readysteadygo_1920x1080_120fps_420_8bit_yuv_seg_002,38,31.179581,0.86776,60.392795,5228.47578700185,14.692631359256666,6.966769,2073600
readysteadygo_1920x1080_120fps_420_8bit_yuv_seg_003,18,41.499717,0.973944,99.96266,4602.803629819205,23.220240834759824,7.4022036,2073600
readysteadygo_1920x1080_120fps_420_8bit_yuv_seg_003,28,35.915038,0.932422,98.411074,4602.803629819205,23.220240834759824,7.4022036,2073600
readysteadygo_1920x1080_120fps_420_8bit_yuv_seg_003,38,30.075614,0.842414,67.416017,4602.803629819205,23.220240834759824,7.4022036,2073600
readysteadygo_1920x1080_120fps_420_8bit_yuv_seg_004,18,41.428499,0.975809,99.963903,4408.051615525425,17.606763611694678,7.5804367,2073600
readysteadygo_1920x1080_120fps_420_8bit_yuv_seg_004,28,35.784011,0.932465,97.898162,4408.051615525425,17.606763611694678,7.5804367,2073600
readysteadygo_1920x1080_120fps_420_8bit_yuv_seg_004,38,29.957974,0.830891,72.885373,4408.051615525425,17.606763611694678,7.5804367,2073600
shakendry_1920x1080_120fps_420_8bit_yuv_seg_000,18,40.612703,0.958282,91.875208,1562.6237200679104,3.669828155799357,7.0651083,2073600
shakendry_1920x1080_120fps_420_8bit_yuv_seg_000,28,35.962357,0.90039,72.941081,1562.6237200679104,3.669828155799357,7.0651083,2073600
shakendry_1920x1080_120fps_420_8bit_yuv_seg_000,38,31.865198,0.81337,44.114414,1562.6237200679104,3.669828155799357,7.0651083,2073600
shakendry_1920x1080_120fps_420_8bit_yuv_seg_001,18,41.743158,0.963448,92.789995,1635.8609195541437,2.000985733413736,7.0532017,2073600
shakendry_1920x1080_120fps_420_8bit_yuv_seg_001,28,37.801262,0.926686,79.672296,1635.8609195541437,2.000985733413736,7.0532017,2073600
shakendry_1920x1080_120fps_420_8bit_yuv_seg_001,38,32.970341,0.850555,48.31293,1635.8609195541437,2.000985733413736,7.0532017,2073600
shakendry_1920x1080_120fps_420_8bit_yuv_seg_002,18,42.392534,0.968114,93.855018,1709.8737943060603,1.1677280239720653,7.092742,2073600
shakendry_1920x1080_120fps_420_8bit_yuv_seg_002,28,38.697446,0.939628,84.10822,1709.8737943060603,1.1677280239720653,7.092742,2073600
shakendry_1920x1080_120fps_420_8bit_yuv_seg_002,38,33.859544,0.873911,54.682569,1709.8737943060603,1.1677280239720653,7.092742,2073600
sunbath_3840x2160_50fps_8bit_seg_000,18,40.021138,0.982376,99.899301,1812.9557420574704,49.238444790531936,6.4062586,2073600
sunbath_3840x2160_50fps_8bit_seg_000,28,34.548051,0.953769,85.832323,1812.9557420574704,49.238444790531936,6.4062586,2073600
