segment,spatial_var,motion,entropy,resolution,target_vmaf,predicted_crf
seg_000.yuv,1362.3013,2.6342517088608104,6.648616130258213,8294400,80,23.955
seg_001.yuv,767.01917,3.708884746702684,6.172353651661159,8294400,80,24.0
